Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-09T21:30:00Z,4.3,7.2,212.78337097168,2021,3,9,Terca,21:30:00,Noite,Verao
2021-03-09T21:45:00Z,4.3,5.6,222.235794067383,2021,3,9,Terca,21:45:00,Noite,Verao
2021-03-09T22:00:00Z,4.3,5.4,217.506454467773,2021,3,9,Terca,22:00:00,Noite,Verao
2021-03-09T22:15:00Z,4.4,5.4,222.237289428711,2021,3,9,Terca,22:15:00,Noite,Verao
2021-03-09T22:30:00Z,4.6,5.6,185.275436401367,2021,3,9,Terca,22:30:00,Noite,Verao
2021-03-09T22:45:00Z,4.7,5.7,178.581939697266,2021,3,9,Terca,22:45:00,Noite,Verao
2021-03-09T23:00:00Z,5,6,212.781982421875,2021,3,9,Terca,23:00:00,Noite,Verao
2021-03-09T23:15:00Z,5.3,6.2,185.129943847656,2021,3,9,Terca,23:15:00,Noite,Verao
2021-03-09T23:30:00Z,4.1,6.4,181.829284667969,2021,3,9,Terca,23:30:00,Noite,Verao
2021-03-09T23:45:00Z,3.9,5.6,161.299530029297,2021,3,9,Terca,23:45:00,Noite,Verao
2021-03-10T00:00:00Z,3.9,4.9,140.851608276367,2021,3,10,Quarta,00:00:00,Madrugada,Verao
2021-03-10T00:15:00Z,3.9,4.7,172.352493286133,2021,3,10,Quarta,00:15:00,Madrugada,Verao
2021-03-10T00:30:00Z,3.9,4.6,149.262985229492,2021,3,10,Quarta,00:30:00,Madrugada,Verao
2021-03-10T00:45:00Z,3.9,4.6,172.422317504883,2021,3,10,Quarta,00:45:00,Madrugada,Verao
2021-03-10T01:00:00Z,3.9,4.6,175.449493408203,2021,3,10,Quarta,01:00:00,Madrugada,Verao
2021-03-10T01:15:00Z,3.8,4.6,135.10905456543,2021,3,10,Quarta,01:15:00,Madrugada,Verao
2021-03-10T01:30:00Z,3.8,4.5,158.741226196289,2021,3,10,Quarta,01:30:00,Madrugada,Verao
2021-03-10T01:45:00Z,3.8,4.5,158.640563964844,2021,3,10,Quarta,01:45:00,Madrugada,Verao
2021-03-10T02:00:00Z,3.8,4.5,121.95874786377,2021,3,10,Quarta,02:00:00,Madrugada,Verao
2021-03-10T02:15:00Z,3.9,4.4,120.489189147949,2021,3,10,Quarta,02:15:00,Madrugada,Verao
2021-03-10T02:30:00Z,4.1,4.5,113.643623352051,2021,3,10,Quarta,02:30:00,Madrugada,Verao
2021-03-10T02:45:00Z,4.3,4.6,133.300247192383,2021,3,10,Quarta,02:45:00,Madrugada,Verao
