"Situação da Ligação de Água","Categoria de Imóvel","Perfil de Imóvel","Setor","CONSUMO_MEDIDO","TIPO_CONSUMO","MUNICIPIO","QUANTIDADE_ECONOMIAS","x","y"
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",2,NA,NA
"FACTIVEL","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3886149.5102153,-907933.034534375
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3886159.91780845,-907911.467331373
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,0,"CONS CORT","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"CORTADO","COMERCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",5,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"S CONSUMO","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","TARIFA SOCIAL",611,3,"REAL","RECIFE",1,-3885872.91757083,-909079.366095008
"LIGADO","RESIDENCIAL","NORMAL",611,1,"REAL","RECIFE",1,-3885874.08152742,-909078.515619545
"LIGADO","RESIDENCIAL","NORMAL",611,4,"REAL","RECIFE",1,-3885880.13352286,-909079.165480404
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,-3885889.5809854,-909077.498265135
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,-3885931.81615681,-909060.239678252
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,-3885930.50503585,-909062.768163427
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3885921.9971098,-909072.267217398
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885938.80902458,-909058.513763703
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885938.65006035,-909052.051817862
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885957.58717553,-909053.191969347
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885949.85458973,-909054.098782823
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885954.23790601,-909043.987093945
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885959.74120767,-909049.978089406
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885944.27870776,-909033.118267915
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3885950.64250909,-909046.519626484
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3885956.17197084,-909036.599332662
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885946.07451379,-909070.511165221
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3885936.71098614,-909091.98412556
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3885938.69759377,-909087.542265338
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885939.75713269,-909083.769495794
"LIGADO","RESIDENCIAL","NORMAL",611,6,"REAL","RECIFE",1,-3885955.78112811,-909062.620513835
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885948.92874553,-909061.545134514
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885953.21298745,-909061.105896661
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885942.82821479,-909064.126134891
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885940.32129987,-909067.036620072
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885934.19460905,-909072.542050367
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3885932.14978132,-909072.025670255
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,-3885936.65989049,-909073.236104821
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885925.40582393,-909070.149969045
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",2,-3885921.91384282,-909070.969632471
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885916.34219099,-909072.026120065
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3885913.1101409,-909072.638421826
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3885909.4017547,-909073.066527028
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,-3885905.37165518,-909076.695694316
"LIGADO","RESIDENCIAL","NORMAL",611,11,"REAL","RECIFE",1,-3885899.64794092,-909127.785197615
"LIGADO","RESIDENCIAL","NORMAL",611,6,"REAL","RECIFE",1,-3885918.75882582,-909098.563927012
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3885922.06557129,-909082.989077931
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,-3885925.71328837,-909086.328119467
"LIGADO","RESIDENCIAL","NORMAL",611,9,"REAL","RECIFE",1,-3885928.91839914,-909089.747002282
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3885930.05853337,-909097.166033988
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,-3885990.67778472,-909226.296739648
"LIGADO","COMERCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3885992.15710943,-909141.525178185
"LIGADO","COMERCIAL","NORMAL",611,2,"REAL","RECIFE",1,-3885998.32899596,-909144.077845167
"CORTADO","COMERCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3886009.09737558,-909137.13863959
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",2,-3886015.64841629,-909137.35252382
"LIGADO","RESIDENCIAL","GRANDE",611,327,"REAL","RECIFE",24,-3886171.29287929,-909211.304462597
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,-3886125.74550776,-909307.559261515
"LIGADO","RESIDENCIAL","NORMAL",611,0,"REAL","RECIFE",1,-3886319.98811176,-909251.181584805
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3886326.33855475,-909260.826754407
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3886318.09312007,-909262.119059528
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,-3886318.6924642,-909257.18992552
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,-3886328.69062427,-909253.363164529
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3886313.75433159,-909251.149423372
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3886312.08698826,-909256.469554324
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"N MEDIDO","RECIFE",1,-3886310.45916335,-909262.033595565
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3886317.59028993,-909268.351294833
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",2,-3886321.4830212,-909269.487066142
"LIGADO","RESIDENCIAL","NORMAL",611,6,"REAL","RECIFE",1,-3885916.00544953,-909107.50736219
"LIGADO","RESIDENCIAL","NORMAL",611,12,"REAL","RECIFE",1,-3885915.62228784,-909113.029215455
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MED IMOV","RECIFE",1,-3885927.13149868,-909105.76086708
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3885927.49863036,-909100.799251492
"LIGADO","RESIDENCIAL","NORMAL",611,8,"REAL","RECIFE",1,-3885932.03133738,-909093.778074955
"SUPRIMIDO","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,-3885919.74689761,-909087.037804986
"CORTADO","RESIDENCIAL","NORMAL",611,0,"CONS CORT","RECIFE",1,-3885912.88349441,-909102.513135281
"LIGADO","RESIDENCIAL","NORMAL",611,16,"REAL","RECIFE",1,-3885909.27785611,-909109.509798596
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3885943.502143,-909077.687184712
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,-3885947.12347735,-909067.904300493
"FACTIVEL","RESIDENCIAL","NORMAL",611,NA,NA,"RECIFE",1,-3885944.32379216,-909053.569021127
"CORTADO","COMERCIAL","NORMAL",611,0,"CONS CORT","RECIFE",1,-3886016.45949011,-908372.837139547
"LIGADO","RESIDENCIAL","GRANDE",611,0,"REAL","RECIFE",34,-3885679.94545618,-909343.860582468
"LIGADO","COMERCIAL","NORMAL",611,25,"REAL","RECIFE",1,-3885624.61265613,-909162.588058691
"LIGADO","RESIDENCIAL","NORMAL",611,NA,"MEDIA HD","RECIFE",1,NA,NA
"LIGADO","COMERCIAL","NORMAL",611,0,"REAL","RECIFE",1,-3885424.54414657,-908266.095102713
"LIGADO","COMERCIAL","NORMAL",611,40,"REAL","RECIFE",1,-3885584.72543542,-908121.042800059
"LIGADO","COMERCIAL","NORMAL",611,24,"REAL","RECIFE",6,-3885436.76624742,-908266.443135785
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",613,NA,NA,"RECIFE",2,-3886488.7404448,-909110.063400814
"LIGADO","COMERCIAL","NORMAL",611,28,"REAL","RECIFE",1,-3886093.86316032,-908549.165172732
"LIGADO","RESIDENCIAL","NORMAL",612,14,"REAL","RECIFE",1,-3886611.04371843,-910013.826464815
"LIGADO","COMERCIAL","NORMAL",613,9,"REAL","RECIFE",1,-3886779.37147893,-909130.148606668
"LIGADO","RESIDENCIAL","NORMAL",613,28,"REAL","RECIFE",3,-3886215.00192076,-908903.270674143
"LIGADO","RESIDENCIAL","NORMAL",612,51,"ESTIMADO","RECIFE",6,-3886328.2990023,-909968.101490344
"LIGADO","RESIDENCIAL","NORMAL",613,13,"REAL","RECIFE",1,-3886679.14987345,-909407.901818297
"LIGADO","RESIDENCIAL","NORMAL",613,31,"REAL","RECIFE",3,-3886204.69217744,-908746.576935368
"CORTADO","RESIDENCIAL","NORMAL",613,0,"CONS CORT","RECIFE",1,-3886668.57864065,-909437.919569456
"LIGADO","RESIDENCIAL","NORMAL",613,0,"REAL","RECIFE",1,-3886006.14573929,-908874.659824093
"LIGADO","RESIDENCIAL","NORMAL",613,10,"REAL","RECIFE",1,-3886005.88146681,-908868.052617149
"LIGADO","RESIDENCIAL","NORMAL",613,1,"REAL","RECIFE",1,-3886010.1426656,-908859.742444358
"LIGADO","RESIDENCIAL","NORMAL",613,0,"REAL","RECIFE",1,-3886005.27355107,-908852.850174879
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",2,-3886004.57568919,-908835.398144972
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886004.36351424,-908830.092907344
"SUPRIMIDO","RESIDENCIAL","NORMAL",613,NA,NA,"RECIFE",1,-3886023.33124227,-908806.479221038
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"MED IMOV","RECIFE",1,-3886016.3560743,-908807.537389203
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",2,-3886235.8036374,-908539.680847632
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886226.80000567,-908556.220449472
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"MIN FIXAD","RECIFE",5,-3886680.6173983,-909519.259953436
"LIGADO","COMERCIAL","NORMAL",613,7,"REAL","RECIFE",1,-3886682.71398959,-909096.21311426
"LIGADO","RESIDENCIAL","NORMAL",613,12,"REAL","RECIFE",1,-3886345.86065385,-908313.869554111
"LIGADO","COMERCIAL","NORMAL",613,15,"REAL","RECIFE",1,-3886295.31102968,-908293.025560924
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",2,-3886355.22529469,-908105.2921925
"LIGADO","COMERCIAL","NORMAL",612,4,"REAL","RECIFE",1,-3885948.24179295,-909756.901918875
"LIGADO","RESIDENCIAL","GRANDE",612,392,"REAL","RECIFE",40,-3885845.8334274,-909648.112309789
"FACTIVEL","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886205.775984,-910203.359531523
"FACTIVEL","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886211.39450134,-910109.69883417
"CORTADO","COMERCIAL","NORMAL",612,0,"CONS CORT","RECIFE",1,-3886130.66694245,-910112.903456006
"LIGADO","COMERCIAL","NORMAL",612,2,"REAL","RECIFE",1,-3886079.96881808,-910219.133476126
"LIGADO","COMERCIAL","NORMAL",612,17,"REAL","RECIFE",1,-3886250.71076438,-910001.054563181
"CORTADO","COMERCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,-3886002.04996126,-909999.260802546
"FACTIVEL","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886111.76377972,-909848.143894988
"LIGADO","COMERCIAL","NORMAL",612,1,"REAL","RECIFE",1,-3886071.0180631,-909794.495810026
"FACTIVEL","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886676.8763955,-910150.15983027
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MIN FIXAD","RECIFE",1,-3886621.38908399,-910155.092660606
"CORTADO","COMERCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,-3886624.43033247,-909986.480920784
"LIGADO","COMERCIAL","NORMAL",612,21,"REAL","RECIFE",1,-3886573.85432558,-910010.537396729
"SUP. PARC. PEDIDO","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886590.18845711,-909851.874220938
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886557.15706988,-909784.172541594
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,-3886550.78102341,-909786.910569031
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,NA,NA
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",2,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"FACTIVEL","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886503.54671631,-909805.528102942
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",2,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,-3886501.24474056,-909806.338670985
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"N MEDIDO","RECIFE",1,-3886498.9940831,-909806.931528197
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,-3886495.79297982,-909808.339564105
"FACTIVEL","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886492.05086382,-909809.648865487
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"N MEDIDO","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,16,"REAL","RECIFE",1,NA,NA
"LIGADO","PUBLICO","NORMAL",612,34,"REAL","RECIFE",1,-3886388.17976015,-909650.011537863
"LIGADO","COMERCIAL","NORMAL",612,15,"REAL","RECIFE",1,-3886351.72997401,-909528.056045937
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886251.19288909,-909484.791252401
"SUPRIMIDO","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886365.30560854,-909499.388122649
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,-3886373.89290539,-909497.146256102
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886382.03236391,-909494.568716962
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"N MEDIDO","RECIFE",1,-3886386.38918614,-909492.168629052
"CORTADO","COMERCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,-3886396.50823917,-909486.964746818
"LIGADO","COMERCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,-3886477.71146625,-909513.939454078
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,-3886481.34871929,-909512.264238544
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886484.31171018,-909511.003862959
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886488.02299068,-909509.610230354
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886492.98828525,-909498.292941138
"SUPRIMIDO","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886450.71660105,-909473.140995754
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,-3886445.65913395,-909472.108901076
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886436.17783028,-909466.240535797
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886441.20101098,-909470.655332169
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886434.01411333,-909470.181004967
"CORTADO","RESIDENCIAL","NORMAL",612,0,"CONS CORT","RECIFE",1,-3886434.3617641,-909474.590628878
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,-3886434.74559371,-909478.986758849
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886428.38246029,-909479.220436455
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886428.57526566,-909473.185639636
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886427.4675254,-909469.056473902
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,-3886414.46641075,-909476.177342406
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"N MEDIDO","RECIFE",2,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",2,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"FACTIVEL","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"N MEDIDO","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",3,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"LIGADO","RESIDENCIAL","NORMAL",612,NA,"N MEDIDO","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MEDIA HD","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"MED IMOV","RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",1,NA,NA
