"Situação da Ligação de Água","Categoria de Imóvel","Perfil de Imóvel","Setor","CONSUMO_MEDIDO","TIPO_CONSUMO","MUNICIPIO","QUANTIDADE_ECONOMIAS","x","y"
"LIGADO","RESIDENCIAL","NORMAL",612,91,"REAL","RECIFE",12,-3885951.15936549,-909764.557550923
"LIGADO","RESIDENCIAL","NORMAL",613,12,"REAL","RECIFE",1,-3886688.64631657,-908881.634973766
"LIGADO","RESIDENCIAL","NORMAL",611,2,"REAL","RECIFE",1,-3885692.95703486,-908102.949190582
"LIGADO","RESIDENCIAL","CORPORATIVO",611,733,"REAL","RECIFE",85,-3885291.1314104,-908393.219223307
"SUPRIMIDO","COMERCIAL","NORMAL",611,NA,NA,"RECIFE",1,-3885947.68430494,-908375.200509012
"SUPRIMIDO","PUBLICO","NORMAL",612,NA,NA,"RECIFE",1,-3886336.2001258,-909417.019729461
"SUPRIMIDO","PUBLICO","NORMAL",612,NA,NA,"RECIFE",1,-3886332.88915019,-909411.414511286
"LIGADO","RESIDENCIAL","NORMAL",613,10,"REAL","RECIFE",1,-3886411.32864826,-908247.966687965
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886707.51341179,-908226.044217255
"LIGADO","RESIDENCIAL","NORMAL",613,12,"REAL","RECIFE",1,-3886408.05941746,-908303.265387
"LIGADO","COMERCIAL","NORMAL",613,9,"REAL","RECIFE",10,-3886482.7018077,-909264.734819254
"SUPRIMIDO","INDUSTRIAL","NORMAL",612,NA,NA,"RECIFE",1,-3886930.78613524,-909777.951367836
"CORTADO","RESIDENCIAL","NORMAL",611,NA,"CONS CORT","RECIFE",1,-3886016.93905447,-909277.189620522
"LIGADO","COMERCIAL","NORMAL",611,20,"REAL","RECIFE",1,-3885984.68679236,-908365.369873426
"LIGADO","RESIDENCIAL","NORMAL",613,44,"REAL","RECIFE",1,-3886517.95669044,-909139.137029035
"LIGADO","RESIDENCIAL","GRANDE",611,922,"REAL","RECIFE",96,-3886159.00521126,-908141.543966777
"LIGADO","COMERCIAL","NORMAL",613,0,"REAL","RECIFE",1,-3886387.34352813,-908822.142811223
"LIGADO","COMERCIAL","NORMAL",613,4,"REAL","RECIFE",1,-3886472.88131354,-909228.361592471
"SUPRIMIDO","COMERCIAL","NORMAL",613,NA,NA,"RECIFE",1,-3886568.97018293,-908295.711995563
"FACTIVEL","RESIDENCIAL","NORMAL",613,NA,NA,"RECIFE",1,-3886661.68451326,-908335.972437762
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886952.7856496,-909371.020301418
"LIGADO","RESIDENCIAL","NORMAL",612,48,"ESTIMADO","RECIFE",6,-3886330.29707585,-909887.138816104
"LIGADO","RESIDENCIAL","GRANDE",611,106,"MEDIA HD","RECIFE",60,-3885631.49743267,-909106.359562581
"LIGADO","RESIDENCIAL","GRANDE",611,39,"REAL","RECIFE",26,-3885663.10715868,-909315.278915212
"LIGADO","RESIDENCIAL","GRANDE",611,507,"REAL","RECIFE",24,-3885799.89365466,-909381.338752104
"LIGADO","RESIDENCIAL","GRANDE",611,120,"REAL","RECIFE",1,-3885405.28342564,-908168.120583359
"LIGADO","COMERCIAL","NORMAL",612,2,"REAL","RECIFE",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886126.91525297,-908706.409573397
"LIGADO","RESIDENCIAL","GRANDE",613,250,"REAL","RECIFE",12,-3886320.25438798,-908578.68565623
"LIGADO","RESIDENCIAL","GRANDE",611,767,"REAL","RECIFE",28,-3885388.86714033,-908452.216487024
"SUP. PARC. PEDIDO","RESIDENCIAL","NORMAL",612,NA,NA,"JABOATAO DOS GUARARAPES",1,NA,NA
"CORTADO","RESIDENCIAL","NORMAL",613,0,"CONS CORT","RECIFE",1,-3886131.21485698,-908705.376259323
"CORTADO","RESIDENCIAL","NORMAL",612,NA,"CONS CORT","RECIFE",2,-3886624.19177481,-910061.646289695
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886406.34365015,-908316.149257518
"SUPRIMIDO","RESIDENCIAL","NORMAL",612,NA,NA,"RECIFE",2,-3886659.13462901,-910157.450051025
"LIGADO","COMERCIAL","NORMAL",611,58,"AJUSTADO","RECIFE",1,-3885570.55869438,-908931.116420565
"LIGADO","RESIDENCIAL","GRANDE",611,291,"REAL","RECIFE",46,-3885734.63082207,-909220.602707751
"SUPRIMIDO","COMERCIAL","NORMAL",612,NA,NA,"JABOATAO DOS GUARARAPES",1,-3886892.97413248,-910063.590629505
"LIGADO","RESIDENCIAL","NORMAL",613,1,"REAL","RECIFE",2,-3886637.56569843,-907993.889647635
"LIGADO","RESIDENCIAL","NORMAL",613,0,"MEDIA HD","RECIFE",5,-3886676.33694124,-908816.35403381
"LIGADO","RESIDENCIAL","NORMAL",613,60,"REAL","RECIFE",6,-3886174.39780253,-908749.068743815
"LIGADO","RESIDENCIAL","GRANDE",611,272,"REAL","RECIFE",32,-3885373.81496406,-908878.264348493
"LIGADO","RESIDENCIAL","NORMAL",613,68,"REAL","RECIFE",4,-3886318.74701075,-908719.271743597
"LIGADO","COMERCIAL","NORMAL",613,0,"REAL","RECIFE",1,-3886127.01800086,-908628.756126134
"CORTADO","RESIDENCIAL","NORMAL",613,0,"CONS CORT","RECIFE",1,-3886123.92554541,-908624.957531275
"LIGADO","RESIDENCIAL","GRANDE",611,878,"REAL","RECIFE",40,-3885874.3881013,-909460.438068797
"SUPRIMIDO","COMERCIAL","NORMAL",612,NA,NA,"RECIFE",1,-3887072.62208332,-909924.38656941
